title,paragraph
José María Alvira,"José María Alvira (18 June 1864 – 31 July 1938) was a Spanish composer, singing teacher, and pianist."
August Wilhelm Ambros,August Wilhelm Ambros (17 November 1816 – 28 June 1876)[1] was an Austrian composer and music historian of Czech descent.
Princess Amalie of Saxony,"Amalie Marie Friederike Auguste (10 August 1794 – 18 September 1870),[1] Princess of Saxony, full name Maria Amalia Friederike Augusta Karolina Ludovica Josepha Aloysia Anna Nepomucena Philippina Vincentia Franziska de Paula Franziska de Chantal, was a German composer writing under the pen name A. Serena, and a dramatist under the name Amalie Heiter. She was the daughter of Prince Maximilian of Saxony and Princess Carolina of Parma."
Jean Ancot Jnr,"Jean Ancot (6 July 1799 – 5 June 1829) was a Belgian violinist, pianist and composer."
Jean Ancot Snr,Jean Ancot (22 October 1776 – 12 July 1848) was a Belgian composer and teacher.
Anton Jörgen Andersen,Anton Jørgen Andersen (Swedish:Anton Jörgen Andersen) (10 October 1845 – 9 September 1926) was a Norwegian composer and cellist.
Elfrida Andrée,"Elfrida Andrée (19 February 1841 – 11 January 1929), was a Swedish organist, composer, and conductor. A 1996 recording on the Caprice label features Andrée's piano quintet, along with a piano sonata, the string quartet in D minor, and vocal music. She was a sister of Swedish opera singer-soprano Fredrika Stenhammar."
Joachim Andersen (composer),"Carl Joachim Andersen (29 April 1847 – 7 May 1909) was a Danish flutist, conductor and composer born in Copenhagen, son of the flutist Christian Joachim Andersen. Both as a virtuoso and as composer of flute music, he is considered one of the best of his time. He was considered to be a tough leader and teacher and demanded as such a lot from his orchestras but through that style he reached a high level."
Johann Anton André,"Johann Anton André (6 October 1775 – 6 April 1842) was a German composer and music publisher of the Classical period,[1] best known for his central place in Mozart research.[2]"
Guglielmo Andreoli the Younger,"Guglielmo Andreoli (9 January 1862 - 26 April 1932) was an Italian pianist, music teacher and composer."
Guglielmo Andreoli the Elder,Guglielmo Andreoli (22 April 1835 – 13 March 1860) was an Italian pianist.
Charles-François Angelet,Charles-François Angelet (18 November 1797 – 20 December 1832) was a Flemish pianist and composer.
José Escolástico Andrino,"José Escolástico Andrino (1817, in Guatemala City – July 14, 1862 in San Salvador) was a Salvadoran composer, considered to be the founder of the classical music scene in his country.  In 1845, he established a Conservatory in San Salvador, where he both composed and taught.  He wrote two symphonies, three masses, a set of variations for violin and orchestra, and one opera La Mora generosa (the Generous Blackberry)."
Humfrey Anger,"Joseph Humfrey Anger (3 June 1862 – 11 June 1913) was a Canadian organist, pianist, conductor, composer, and music educator of English birth. His compositional output consists mainly of church music and works for solo piano and organ. Some of his more well known works are A Concert Overture for organ (1895), the patriotic song Hail Canada (1911), and Tintamarre, Morceau de Salon (1911), all of which were published by Whaley, Royce & Co. The latter piece was notably the first published classical composition to thoroughly integrate true tone clusters. He also wrote the textbooks Form in Music and A Treatise on Harmony, both of which were widely used in music schools in North America.[1]"
Giuseppe Apolloni,"Giuseppe Apolloni (8 April 1822 – 31 December 1889) was an Italian composer born in Vicenza, Italy. He composed a total of five operas, of which only one L'ebreo was successful. He died in Vicenza."
Adelaide Orsola Appignani,"Adelaide Orsola Appignani (1807 – 30 September 1884) was an Italian singer, conductor, music educator and composer."
Karl Anschütz,"Karl Anschütz (1813/1815 Koblenz, Germany – 30 December 1870 New York City) was a German-born musical director and composer who founded the German Opera in New York City. He was the son of Josef Andreas Anschütz, the brother of Hermann Anschütz."
John Antes,"John Antes (24 March 1740 – 17 December 1811)[1] was the first American Moravian Missionary to travel and work in Egypt, one of the earliest American-born chamber music composers, and the maker of perhaps the earliest surviving bowed string instrument made in America.[2] Although Antes is often recognized for his choral works, such as Go Congregation Go! and Surely he has Bourne our Griefs,[3] his three string trios have also attracted attention and the lost ""six Quartettos"" remain a tantalizing mystery.[4]"
Antonio D'Antoni,Antonio D'Antoni (25 June 1801 – 18 August 1859) was an Italian opera composer and conductor.
Jean-Baptiste Arban,"Joseph Jean-Baptiste Laurent Arban (28 February 1825 – 8 April 1889) was a cornetist, conductor, composer, pedagogue and the first famed virtuoso of the cornet à piston or valved cornet. He was influenced by Niccolò Paganini's virtuosic technique on the violin and successfully proved that the cornet was a true solo instrument by developing virtuoso technique on the instrument."
Julián Arcas,"Julián Arcas (25 October 1832 – 16 February 1882) was a Spanish classical guitarist and composer, who influenced Francisco Tárrega and Antonio de Torres. He was ""one of the most important figures in Spanish music in the 19th century"".[1]"
Luigi Arditi,"Luigi Arditi (16 July 1822 – 1 May 1903) was an Italian violinist, composer and conductor."
George Benjamin Arnold,George Benjamin Arnold (1832–1902) was English organist and musical composer.
Fritz Arlberg,"Fritz Georg Efraim Arlberg (21 March 1830 in Leksand, Sweden – 21 February 1896 in Christiania, Sweden) was a Swedish baritone, teacher, composer, opera singer, translator of opera libretti and member of the Royal Swedish Academy of Music."
Nicola D'Arienzo,"Nicola d'Arienzo (24 December 1842 – 25 April 1915) was an Italian composer, music pedagogue, and writer on music. He spent his entire career in his native Naples where all but one of his nine of his operas were premiered. His other compositions included instrumental and sacred music and art songs. From 1909 until 1911, d'Arienzo served as the director of the Conservatory of San Pietro a Majella having taught there since 1875. He also wrote several books on the history and theory of music.[1]"
Cecilia Arizti,"Cecilia Arizti Sobrino (28 October 1856 – 30 June 1930[1]) was a Cuban composer, pianist and music educator."
Pietro Armanini,"Pietro Armanini was an Italian mandolin virtuoso who was born in 1844 and died on 8 September 1895 in Bordeaux, France.  As a professor at La Scala, he was one of the most famous exponents of the Milanese mandolin and the first to bring his instrument professionally before the English public.[1]"
Anton Arensky,"Anton Stepanovich Arensky (Russian: Анто́н Степа́нович Аре́нский; 12 July [O.S. 30 June] 1861 – 25 February [O.S. 12 February] 1906) was a Russian composer of Romantic classical music, a pianist and a professor of music."
Emilio Arrieta,Pascual Juan Emilio Arrieta Corera (21 October 1823 – 11 February 1894) was a Spanish composer.
Johann Gottfried Arnold,Johann Gottfried Arnold (15 February 1773 – 16 July 1806) was a German cellist and composer.
Juan Crisóstomo Arriaga,"Juan Crisóstomo Jacobo Antonio de Arriaga y Balzola (27 January 1806 – 17 January 1826) was a Spanish Basque composer. He was nicknamed ""the Spanish Mozart"" after he died, because, like Wolfgang Amadeus Mozart, he was both a child prodigy and an accomplished composer who died young. They also shared the same first and second baptismal names; and they shared the same birthday, 27 January (fifty years apart)."
Bonifazio Asioli,Bonifazio Asioli (30 April 1769 – 26 May 1832) was an Italian composer of classical and church music.
Elena Asachi,"Elena Asachi, née Teyber, (30 October 1789 – May 1877) was a Romanian pianist, singer and composer of Austrian birth. She was the daughter of Austrian composer Anton Teyber and niece of concertmaster Franz Teyber."
João Arroio,"João Marcelino Arroio (or Arroyo; 4 October 1861, Porto — 18 May 1930, Colares (Sintra)) was a Portuguese composer. He is best known for his opera Amor de Perdição.[1] He notably founded the Orfeon Académico de Coimbra in 1880.[2]"
Joseph Ascher,Joseph Ascher (3 June 1829 – 20 June 1869)[1] was a Dutch-Jewish composer and pianist. He lived in Paris and London for most of his life.[2]
Alexandre Artôt,Alexandre Joseph Artôt (25 January 1815 – 20 July 1845) was a Belgian violinist.
Esmeralda Athanasiu-Gardeev,Esmeralda Athanasiu-Gardeev (1834–1917) was a Romanian pianist and composer.
Percy Lee Atherton,"Percy Lee Atherton (September 25, 1871 – March 8, 1944) was a Harvard educated American composer[1][2][3] and a music teacher. His musical compositions include songs, chamber music, and several comic operas."
Olivier Aubert,"Pierre François Olivier Aubert (1763 – c.1830) was a French cellist, guitarist and composer. He mostly abbreviated his name as ""P. F. Olivier Aubert""."
Daniel Auber,Daniel-François-Esprit Auber (French: [danjɛl fʁɑ̃swa ɛspʁi obɛːʁ]; 29 January 1782 – 12 May 1871) was a French composer and director of the Paris Conservatoire.
Florence Aylward,Florence Aylward (10 March 1862 – 14 October 1950)[1] was an English composer known for ballads.
Leopold Auer,"Leopold von Auer (Hungarian: Auer Lipót; June 7, 1845 – July 15, 1930) was a Hungarian violinist, academic, conductor, composer, and instructor. Many of his students went on to become prominent concert performers and teachers."
Tor Aulin,"Tor Aulin (10 September 1866, Stockholm – 1 March 1914, Saltsjöbaden) was a Swedish violinist, conductor and composer."
Valborg Aulin,"Laura Valborg Aulin (9 January 1860 – 11 January 1928) was a Swedish pianist and composer.[1][2] Two works by Aulin, String Quartet E Minor, Op. 17 and String Quartet F Minor are the most important Swedish music compositions in that genre from the 1880s.[3]"
Francesco Azopardi,"Francesco Azopardi (or Azzopardi) (May 5, 1748 – February 1809) was a Maltese composer and music theorist.[1]"
Luigi de Baillou,"Pietro Luigi Francesco de Baillou (27 July 1736 – 14 March 1804)[1][2] also known with the French form Louis de Baylou,[3] was an Italian violinist and composer. A concertmaster and conductor at La Scala for 23 years, his musical production consisted mainly of ballets represented in Milan and in other major theatres."
Francis Edward Bache,Francis Edward Bache (/ˈbeɪtʃ/; 14 September 1833 – 24 August 1858) was an English organist and composer.
Charlotte Caroline Wilhelmine Bachmann,"Charlotte Caroline Wilhelmine Bachmann, née Stöwe (2 November 1757 – 19 August 1817) was a German soprano singer, harpsichordist and composer. She was born in Berlin, the daughter of musician Wilhelm Heinrich Stöwe, and studied singing and harpsichord as a child.[1] At the age of nine, she made her debut in the Liebhaberkonzerte (Amateur Concerts) which had been established by Friedrich Benda, son of Franz Benda. She married Berlin violist Karl Ludwig Bachmann on 20 September 1785.[2]"
August Wilhelm Bach,"August Wilhelm Bach (4 October 1796 – 15 April 1869) was a German composer and organist. He is unrelated to the family of Johann Sebastian Bach. He studied with his father, Gottfried, as well as with Carl Friedrich Zelter and Ludwig Berger as well as at the Berlin Singing Academy. In 1816 he served as an organist at St Mary's Church and from 1820 he taught organ and music theory at the Institute of Church Music set up by Zelter. In 1832, Bach succeeded Zelter as the director of the Royal Institute of Church Music in Berlin. He also taught at the Prussian Academy of Arts. His compositions largely consist of sacred works and works for keyboard. He also wrote a pipe organ method and a hymnbook. See: List of music students by teacher: A to B#August Wilhelm Bach."
Tekla Bądarzewska-Baranowska,Tekla Bądarzewska-Baranowska (1829/1834 – 29 September 1861) was a Polish composer and pianist. She composed mainly for the piano and is internationally known for her composition A Maiden's Prayer.
Carl Baermann,"Carl Baermann (24 October 1810 – 23 May 1885) was a clarinetist and composer from Munich, Germany."
Heinrich Baermann,"Heinrich Joseph Baermann (also spelled Bärmann; 14 February 1784 – 11 June 1847) was a German clarinet virtuoso of the Romantic era who is generally considered as being not only an outstanding performer of his time, but highly influential in the creation of several important composers' works for his instrument."
Agathe Backer Grøndahl,"Agathe Ursula Backer Grøndahl (1 December 1847 – 4 June 1907) was a Norwegian pianist and composer. Her son Fridtjof Backer-Grøndahl (1885–1959) was also a pianist and composer, who promoted his mother's compositions in his concerts."
Mily Balakirev,"Mily Alexeyevich Balakirev (Russian: Милий Алексеевич Балакирев,[note 1] pronounced [ˈmʲilʲɪj ɐlʲiekˈsʲie(j)evʲitʑ bɐˈlakʲirʲief] (listen); 2 January 1837 [O.S. 21 December 1836] – 29 May [O.S. 16 May] 1910)[note 2] was a Russian composer, pianist, and conductor known today primarily for his work promoting musical nationalism and his encouragement of more famous Russian composers, notably Pyotr Ilyich Tchaikovsky. He began his career as a pivotal figure, extending the fusion of traditional folk music and experimental classical music practices begun by composer Mikhail Glinka. In the process, Balakirev developed musical patterns that could express overt nationalistic feeling. After a nervous breakdown and consequent sabbatical, he returned to classical music but did not wield the same level of influence as before."
Hans Balatka,"Hans Balatka (March 5, 1827 – April 17, 1899) was an American conductor and composer. His efforts contributed much to the great increase in popularity of European classical music in the United States during the late 19th century.[1]"
Woldemar Bargiel,Woldemar Bargiel (3 October 1828 – 23 February 1897) was a German composer.
Edgar Bara,"Edgar Bara (1876–1962)[1] was a mandolinist, author and composer. He wrote the method book Méthode de Mandoline et Banjoline, published 1903 in the United States, one of the few from that era which is still in print today, in France. He was also a conductor of a  mandolin orchestra in Paris, the Cercle Mandoliniste in 1907.[2][3]"
Michael William Balfe,"Michael William Balfe (15 May 1808 – 20 October 1870) was an Irish composer, best remembered for his operas, especially The Bohemian Girl."
Auguste Barbereau,Mathurin Auguste Balthasar Barbereau (14 November 1799 – 14 July 1879) was a French composer and music theorist.
Frédéric Barbier (composer),Frédéric Barbier (15 November 1829 – 12 February 1889) was a 19th-century French composer.
Francisco Asenjo Barbieri,"Francisco Asenjo Barbieri (3 August 1823 – 19 February 1894[1]) was a well-known composer of the popular Spanish opera form, zarzuela. His works include: El barberillo de Lavapiés, Jugar con fuego, Pan y toros, Don Quijote, Los diamantes de la corona, and El Diablo en el poder."
Granville Bantock,Sir Granville Ransome Bantock (7 August 1868 – 16 October 1946) was a British composer of classical music.
Joseph Barnby,Sir Joseph Barnby (12 August 1838 – 28 January 1896) was an English composer and conductor.
John Barnett,John Barnett (15 July 1802 – 16 April 1890) was an English composer and writer on music.
George Arthur Barker,George Arthur Barker (15 April 1812 – 2 March 1876) was an English song composer and tenor singer.
Abramo Basevi,Abramo Basevi (December 1818 – November 1885) was an Italian musicologist and composer.
Édouard Batiste,Édouard Batiste (28 March 1820 – 9 November 1876) was a French composer and organist.
Bartolomeo Bortolazzi,"Bartolomeo Bortolazzi (born Toscolano-Maderno 1772; died 1846[1]) was a performing musician, composer, author, and virtuoso of both the guitar and the mandolin. He was credited by music historian Philip J. Bone as helping to pull the mandolin out of decline.[2]"
Richard Barth,"Richard Barth (5 June 1850 in Grosswanzleben, Saxony – 25 December 1923 in Marburg) was a left-handed German violin virtuoso, conductor, music teacher and composer in the circle of Johannes Brahms. His Ciacona in B minor, Op. 21, composed in 1908, is a finely crafted tribute to J.S. Bach's Chaconne in post-Paganini technical and tonal terms.[1]"
Adrien Barthe,"Adrien Barthe, born Grat-Norbert Barthe (7 June 1828 – 13 August 1898), was a French composer."
Antoine-Laurent Baudron,"Antoine-Laurent Baudron (15 May 1742 – 1834), was a French musician and composer."
Elkan Bauer,"Elkan Bauer was an Austrian composer and friend and contemporary of Johann Strauss II born in Nikolsburg, on April 4, 1852."
Kārlis Baumanis,"Kārlis Baumanis (11 May 1835 – 10 January 1905), better known as Baumaņu Kārlis, was an ethnic Latvian composer in the Russian Empire. He is the author of the lyrics and music of  Dievs, svētī Latviju!  (“God bless Latvia!”), the national anthem of Latvia."
Frederick August Baumbach,"Frederick August Baumbach (1753 – 30 November 1813, in Leipzig) was a German guitarist, mandolinist and orchestral conductor. Baumbach excelled as a player on the piano, guitar and mandolin; but he is known more through his compositions and writings than his performances. He was characterized as ""a man of scholarly and refined taste and great literary attainments.""[1]"
Sophie Bawr,"Baroness Sophie de Bawr (8 October 1773 – 31 December 1860), born Alexandrine-Sophie Goury de Champgrand, was a French writer, playwright and composer, also known as ""Comtesse de Saint-Simon"", ""Baronne de Bawr"", and ""M. François""."
Eduard Bayer,"Johann Gottfried Eduard Bayer (20 March 1822 – 23 March 1908), usually known as Eduard Bayer, was a German composer for the classical guitar and a virtuoso performer on the guitar, harp guitar, mandolin and zither."
Waldemar von Baußnern,Waldemar Edler von Baußnern (also Baussnern or Bausznern; 29 November 1866 – 20 August 1931) was a German composer and music teacher.
Friedrich Baumfelder,"Friedrich August Wilhelm Baumfelder (28 May 1836 – 8 September 1916 in Dresden) was a German composer of classical music, conductor, and pianist. He started in the Leipzig Conservatory, and went on to become a well-known composer of his time. His many works were mostly solo salon music, but also included symphonies, piano concertos, operas, and choral works. Though many publishers published his work, they have since fallen into obscurity."
Josef Bayer,Josef Bayer (6 March 1852 – 12 March 1913) was an Austrian composer and the director of the Austrian Court Ballet from 1883 until his death. He was born and died in Vienna.
Auguste Bazille,"Auguste Bazille (27 May 1828 – 18 April 1891) was a French organist, composer, and professor of music."
François Bazin (composer),François Emmanuel Joseph Bazin (pronounced [fʁɑ̃.swa ba.zɛ̃]) (4 September 1816 – 2 July 1878) was a well-known French opera composer during the nineteenth century.
Antonio Bazzini,"Antonio Bazzini (11 March 1818 – 10 February 1897) was an Italian violinist, composer and teacher. As a composer, his most enduring work is his chamber music, which earned him a central place in the Italian instrumental renaissance of the 19th century. However, his success as a composer was overshadowed by his reputation as one of the finest concert violinists of the nineteenth century. He also contributed to a portion of Messa per Rossini, specifically the first section of II. Sequentia, Dies Irae."
George Becker (composer),George Becker (Georg) (24 June 1834 – 18 July 1928)[1] was a German-Swiss composer and writer on music.
Amédée de Beauplan,"Amédée de Beauplan (11 July 1790 – 24 December 1853) was a 19th-century French playwright, composer and painter. [1]"
